step, model-name, cost-avg, cost-best, solution-best, runtime-bench (ms), overhead, total cost (ms)
0, vgg19, 16.049, 0.902448, { breakpoint-1: 12; breakpoint-2: 19}, {21.764666 20.081667 22.164333 }, 0.441227, 64.0107
1, vgg19, 13.9066, 0.902448, { breakpoint-1: 12; breakpoint-2: 19}, {21.764666 20.081667 22.164333 }, 0.441227, 64.0107
2, vgg19, 12.8658, 0.902448, { breakpoint-1: 12; breakpoint-2: 19}, {21.764666 20.081667 22.164333 }, 0.441227, 64.0107
3, vgg19, 10.8071, 0.902448, { breakpoint-1: 12; breakpoint-2: 19}, {21.764666 20.081667 22.164333 }, 0.441227, 64.0107
4, vgg19, 10.3966, 0.902448, { breakpoint-1: 12; breakpoint-2: 19}, {21.764666 20.081667 22.164333 }, 0.441227, 64.0107
